message,severity,attributes,tags,timestamp
[spain-pb] 🔄 Rotation IP proxy Decodo — session: 3zlto7fs (http://sphgi7znzc-sessionid-3zlto7fs:***@dc.decodo.com:10010/),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165187970Z
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165190730Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165193330Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-3zlto7fs:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165196120Z
"[spain-pb]    UA          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like ",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165198310Z
[2026-07-29T10:29:41.975Z] [WARN] [SPAIN-WATCHER] Re-solve proactif échoué: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first.,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165202140Z
[spain-pb] 🚀 Résolution CF — stratégie Turnstile injection (token injecté dans notre Chromium),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165205020Z
[spain-pb] 🔄 Rotation IP proxy Decodo — session: ovb65mue (http://sphgi7znzc-sessionid-ovb65mue:***@dc.decodo.com:10010/),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165207659Z
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165210399Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165213179Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-ovb65mue:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.166044967Z
"[spain-pb]    UA          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.166051117Z
[2026-07-29T10:29:42.057Z] [WARN] [SPAIN-WATCHER] Erreur boucle: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first. — retry dans 1 min,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.166054367Z
"[2026-07-29T10:29:52.861Z] [INFO] [v3-loop] Aucun dossier USA actif — polling dans 60s (total USA bruts: 0, raisons: )",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:52.875331130Z
[2026-07-29T10:30:03.766Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:12.742981108Z
[2026-07-29T10:30:34.161Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751413451Z
[2026-07-29T10:30:42.404Z] [INFO] [SPAIN-WATCHER] [PB] Probe → https://www.citaconsular.es/es/hosteds/widgetdefault/25028fcd7126544630b8da0c6e60722b5 | 2 dossier(s) actif(s) | intervalle: 10s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751418381Z
[2026-07-29T10:30:42.404Z] [INFO] [SPAIN-WATCHER] ⏰ Cookie CF expire bientôt → re-solve proactif,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751422671Z
[spain-pb] 🚀 Résolution CF — stratégie Turnstile injection (token injecté dans notre Chromium),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751425831Z
[spain-pb] 🔄 Rotation IP proxy Decodo — session: 62uihcnt (http://sphgi7znzc-sessionid-62uihcnt:***@dc.decodo.com:10010/),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751431051Z
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751436131Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751459781Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-62uihcnt:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751472560Z
"[spain-pb]    UA          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751477380Z
[2026-07-29T10:30:42.474Z] [WARN] [SPAIN-WATCHER] Re-solve proactif échoué: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first.,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751485420Z
[spain-pb] 🚀 Résolution CF — stratégie Turnstile injection (token injecté dans notre Chromium),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751489400Z
[spain-pb] 🔄 Rotation IP proxy Decodo — session: qmacigry (http://sphgi7znzc-sessionid-qmacigry:***@dc.decodo.com:10010/),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751493810Z
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751497480Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751501920Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-qmacigry:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751823829Z
"[spain-pb]    UA          : Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like ",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751828449Z
[2026-07-29T10:30:42.546Z] [WARN] [SPAIN-WATCHER] Erreur boucle: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first. — retry dans 1 min,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:30:42.751832369Z
"[2026-07-29T10:30:53.042Z] [INFO] [v3-loop] Aucun dossier USA actif — polling dans 60s (total USA bruts: 0, raisons: )",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:31:02.709675873Z
[2026-07-29T10:31:04.626Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:31:04.630932077Z
[2026-07-29T10:31:34.979Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:31:44.828665388Z
